word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn
influx,(많은 사람·자금·물건이) 밀어닥침[밀려듦],(人、资金或事物的)涌入，流入,记忆技巧：in 进入 + flux 流动 → 流入 → 涌入,/ˈɪnflʌks/,,
kismet,"숙명, 운명",命运;天命,,/ˈkɪzmɛt/,,
exalt,(때로는 자격이 없는 사람을) 승격[격상]시키다,晋升；提拔,,/ɪɡˈzɔːlt/,,
epidermis,(피부의) 표피[상피],表皮,,/ˌɛpɪˈdəːmɪs/,,
timorous,겁이 많은,羞怯的；胆小的，胆怯的,,/ˈtɪm(ə)rəs/,,
remission,(병의) 차도,（疾病的）缓解期，减轻期,,/rɪˈmɪʃ(ə)n/,,
pernicious,치명적인(특히 그 영향이 서서히 알아차리기 힘들게 진행되는 경우),极其有害的；恶性的；恶劣的,,/pəˈnɪʃəs/,,
exculpate,무죄를 입증[선언]하다,为…开脱；证明…无罪,,/ˈɛkskʌlpeɪt/,,
diurnal,주행성의,在一天内发生的；白天发生的；昼行性的,,/dʌɪˈəːn(ə)l/,,
journal,"(특정 주제나 전문 분야를 다루는) 신문[잡지], 저널, 학술지",杂志，期刊；报纸,,/ˈdʒəːn(ə)l/,,
paradox,역설적인 사람[것/상황],自相矛盾的情况；似非而是的说法，悖论；诡论,,/ˈparədɒks/,,
filial,(부모에 대한) 자식의,子女的,,/ˈfɪlɪəl/,,
macabre,(죽음이나 다른 무서운 것과 관련되어) 섬뜩한[으스스한],（与死亡或暴力有关而）恐怖的，可怕的，令人毛骨悚然的,,/məˈkɑːbr(ə)/,,
moribund,소멸[절멸] 직전의,（尤指组织或公司）无生气的，停滞不前的，失败的,,/ˈmɒrɪbʌnd/,,
waspish,"성질이 더러운, 화를 잘 내는",尖刻的，刻毒的；暴躁的，易怒的,,/ˈwɒspɪʃ/,,
defer,"미루다, 연기하다",使延期，使延缓，推迟,,/dɪˈfəː/,,
abhorrence,(특히 도덕적인 이유에 의한) 혐오,憎恶；憎恨；厌恶,,/əbˈhɒr(ə)ns/,,
detestation,"아주 싫어함, 혐오, 증오(hatred)",憎恶，厌恶的人，嫌恶,,/ˌdiːtɛˈsteɪʃ(ə)n/,,
eloquent,"웅변[연설]을 잘 하는, 유창한",雄辩的，有说服力的,,/ˈɛləkwənt/,,
verdict,(배심원단의) 평결,（根据事实作出的）意见，决定；（尤指）判决，裁决,,/ˈvəːdɪkt/,,
mundane,"재미없는, 일상적인",世俗的；单调的；平凡的,,/ˈmʌndeɪn/,,
iconoclast,"우상 파괴자, 인습 타파주의자",反传统信仰者；反传统者,,/ʌɪˈkɒnəklast/,,
homonym,동철 (동음) 이의어(‘…할 수 있는’의 뜻을 나타내는 can과 ‘통조림으로 만들다’는 뜻의 can처럼 철자는 같으나 뜻은 다른 단어. 발음도 동일할 수 있음),同形（或同音）异义词,,/ˈhɒmənɪm/,,
euphemism,완곡 어구[표현],委婉语，委婉说法,,/ˈjuːfəmɪz(ə)m/,,
melodious,"듣기 좋은, 음악 같은",旋律优美的，悦耳的,,/mɪˈləʊdɪəs/,,
eerily,"무시무시하게, 무서워하여; 불가사의하게",怪异地;怪异的;奇异的;可怕地,,/ˈɪərɪli/,,
apothegm,"경구, 격언",箴言;警句;名人警句;四句箴言,记忆技巧：apo 与…有关 + the 神 + gm → 神的告诫 → 格言,/ˈapəˌTHem/,,
attenuant,희석하는,稀释的；使变淡的,,,,
brevity,간결성,简短，简洁；短暂,,/ˈbrɛvɪti/,,
incessant,"끊임없는, 쉴새없는",连续不断的，没完没了的,,/ɪnˈsɛs(ə)nt/,,
amphibian,양서류 (동물),两栖动物,,/amˈfɪbɪən/,,
turgid,복잡하고 따분한[이해하기 힘든],（讲话、写作、风格等）太严肃的，枯燥乏味的,,/ˈtəːdʒɪd/,,
gabby,"수다스러운, 말이 많은",贫嘴的;饶舌的; 聒噪的,,/ˈɡabi/,,
architect,건축가,建筑师,,/ˈɑːkɪtɛkt/,,
misanthropic,사람을 싫어하는,厌恶人类的；遁世的，不与他人交往的,,/mɪs(ə)nˈθrɒpɪk/,,
largess,"아낌없이 줌; (아낌없이 주어진) 선물, 축의(祝儀).",慷慨的赠与;赏金；赠物,,,,
